user_id,signup_date,age,region,acquisition_channel,kyc_status,signup_month
U000001,2023-03-07 03:40:36,38,Central,Social,Verified,2023-03
U000002,2024-07-18 23:42:35,58,North,Organic,Verified,2024-07
U000003,2024-04-22 20:05:34,69,Central,Social,Verified,2024-04
U000004,2023-11-17 09:09:00,55,North,Organic,Verified,2023-11
U000005,2023-11-13 02:25:36,66,South,Referral,Verified,2023-11
U000006,2024-09-18 18:38:07,18,North,Social,Verified,2024-09
U000007,2023-03-04 17:46:03,27,Central,Affiliate,Verified,2023-03
U000008,2024-05-24 01:53:16,51,Central,Organic,Verified,2024-05
U000009,2023-05-28 01:44:46,46,East,Organic,Verified,2023-05
U000010,2023-03-10 17:59:13,24,North,Organic,Verified,2023-03
U000011,2024-01-20 07:54:42,56,South,Social,Verified,2024-01
U000012,2024-12-13 04:54:12,21,South,Organic,Verified,2024-12
U000013,2024-06-21 02:22:53,70,South,Paid Search,Verified,2024-06
U000014,2024-07-09 15:10:03,26,North,Paid Search,Verified,2024-07
U000015,2024-06-07 18:12:06,41,West,Paid Search,Verified,2024-06
U000016,2024-07-27 19:50:47,61,East,Paid Search,Verified,2024-07
U000017,2024-01-10 15:43:46,45,Central,Paid Search,Verified,2024-01
U000018,2023-04-04 12:33:03,57,East,Referral,Verified,2023-04
U000019,2024-09-05 00:23:20,55,South,Paid Search,Verified,2024-09
U000020,2023-11-25 18:45:41,68,East,Paid Search,Verified,2023-11
U000021,2024-01-01 06:09:56,42,North,Paid Search,Verified,2024-01
U000022,2023-09-28 16:22:52,69,East,Paid Search,Verified,2023-09
U000023,2023-05-14 06:16:10,45,West,Referral,Verified,2023-05
U000024,2024-11-07 12:55:21,65,North,Paid Search,Rejected,2024-11
U000025,2024-07-24 13:03:42,56,South,Paid Search,Verified,2024-07
U000026,2024-04-15 00:31:00,25,Central,Organic,Verified,2024-04
U000027,2023-10-21 18:17:58,52,East,Organic,Verified,2023-10
U000028,2024-08-23 14:47:00,64,East,Affiliate,Pending,2024-08
U000029,2024-02-03 03:55:05,24,West,Affiliate,Verified,2024-02
U000030,2023-11-20 16:37:00,62,East,Organic,Verified,2023-11
U000031,2023-11-25 20:03:04,23,North,Paid Search,Verified,2023-11
U000032,2023-06-15 21:13:20,64,West,Paid Search,Verified,2023-06
U000033,2023-03-09 06:13:16,59,Central,Referral,Pending,2023-03
U000034,2024-02-09 20:19:31,26,North,Organic,Verified,2024-02
U000035,2024-10-10 03:49:48,56,North,Social,Pending,2024-10
U000036,2023-02-16 14:04:41,24,West,Organic,Rejected,2023-02
U000037,2024-09-18 13:15:48,48,East,Social,Verified,2024-09
U000038,2024-08-27 04:05:53,66,South,Organic,Pending,2024-08
U000039,2023-07-22 00:49:47,28,East,Organic,Verified,2023-07
U000040,2024-04-06 02:45:36,27,West,Organic,Verified,2024-04
U000041,2023-05-01 14:48:48,40,East,Organic,Verified,2023-05
U000042,2024-07-07 09:41:49,37,North,Social,Verified,2024-07
U000043,2024-05-26 09:09:44,20,North,Paid Search,Verified,2024-05
U000044,2023-09-16 19:17:41,42,South,Organic,Verified,2023-09
U000045,2023-02-19 13:57:30,31,Central,Social,Verified,2023-02
U000046,2024-12-09 14:37:45,24,East,Organic,Verified,2024-12
U000047,2023-11-22 08:26:41,32,South,Organic,Verified,2023-11
U000048,2024-10-13 23:28:55,19,Central,Organic,Verified,2024-10
U000049,2024-05-09 21:08:27,66,South,Paid Search,Verified,2024-05
U000050,2024-07-22 05:16:43,70,East,Social,Verified,2024-07
U000051,2024-07-08 17:26:17,37,North,Organic,Verified,2024-07
U000052,2023-05-23 02:04:12,64,West,Referral,Rejected,2023-05
U000053,2023-09-23 15:38:01,42,West,Organic,Rejected,2023-09
U000054,2023-12-07 16:57:07,66,West,Organic,Verified,2023-12
U000055,2023-12-30 09:18:28,27,South,Referral,Verified,2023-12
U000056,2023-02-01 23:26:31,33,South,Referral,Verified,2023-02
U000057,2024-02-03 23:53:51,57,North,Paid Search,Verified,2024-02
U000058,2023-04-23 15:09:06,29,Central,Organic,Verified,2023-04
U000059,2024-06-26 15:56:45,61,North,Organic,Rejected,2024-06
U000060,2024-05-13 15:01:03,40,East,Referral,Verified,2024-05
U000061,2024-11-04 10:41:15,39,West,Referral,Verified,2024-11
U000062,2024-06-27 16:13:58,42,North,Paid Search,Verified,2024-06
U000063,2023-09-25 15:34:45,60,South,Organic,Pending,2023-09
U000064,2024-12-07 06:46:13,18,North,Referral,Verified,2024-12
U000065,2023-10-27 22:05:53,57,East,Organic,Verified,2023-10
U000066,2023-08-26 20:27:36,59,Central,Referral,Verified,2023-08
U000067,2024-10-23 00:59:11,61,South,Referral,Pending,2024-10
U000068,2023-09-28 10:27:14,70,Central,Organic,Verified,2023-09
U000069,2023-02-25 17:31:57,59,North,Paid Search,Verified,2023-02
U000070,2023-12-09 18:37:04,46,South,Paid Search,Verified,2023-12
U000071,2024-08-03 20:18:47,42,Central,Referral,Pending,2024-08
U000072,2023-05-19 07:32:17,38,Central,Social,Verified,2023-05
U000073,2023-12-04 22:43:07,61,South,Paid Search,Verified,2023-12
U000074,2023-04-05 20:13:29,38,West,Organic,Verified,2023-04
U000075,2024-05-16 03:05:53,48,Central,Paid Search,Verified,2024-05
U000076,2023-12-14 06:21:01,23,West,Referral,Verified,2023-12
U000077,2023-08-30 01:02:23,34,East,Organic,Verified,2023-08
U000078,2023-06-15 15:27:06,32,North,Referral,Verified,2023-06
U000079,2024-02-17 02:02:17,41,North,Organic,Verified,2024-02
U000080,2024-05-03 23:08:28,44,East,Organic,Verified,2024-05
U000081,2024-11-17 10:09:46,55,East,Organic,Verified,2024-11
U000082,2023-11-16 02:54:05,40,North,Affiliate,Verified,2023-11
U000083,2023-04-28 07:15:23,25,South,Referral,Verified,2023-04
U000084,2024-08-30 20:31:19,46,South,Paid Search,Rejected,2024-08
U000085,2024-04-04 17:28:14,20,East,Organic,Verified,2024-04
U000086,2024-05-26 04:38:40,63,South,Social,Verified,2024-05
U000087,2023-03-12 23:24:38,58,South,Social,Verified,2023-03
U000088,2023-08-17 00:39:48,29,North,Paid Search,Verified,2023-08
U000089,2024-07-14 12:37:31,31,Central,Referral,Verified,2024-07
U000090,2024-08-30 13:11:30,19,East,Social,Pending,2024-08
U000091,2023-11-14 16:59:45,37,North,Organic,Verified,2023-11
U000092,2024-08-10 11:28:17,20,South,Organic,Verified,2024-08
U000093,2024-09-06 10:26:29,67,South,Paid Search,Verified,2024-09
U000094,2023-10-10 20:37:16,25,East,Paid Search,Verified,2023-10
U000095,2024-10-17 14:29:42,52,East,Referral,Verified,2024-10
U000096,2023-07-30 11:30:30,48,East,Paid Search,Verified,2023-07
U000097,2023-06-24 21:03:08,30,West,Organic,Verified,2023-06
U000098,2024-05-13 05:19:16,60,North,Paid Search,Verified,2024-05
U000099,2024-04-09 20:04:01,23,South,Referral,Verified,2024-04
U000100,2023-04-13 00:27:48,65,North,Organic,Pending,2023-04
