transaction_id,user_id,transaction_date,amount,transaction_type,status,payment_method,device_type
T00039224,U007297,2025-01-30 15:46:19,140.95,P2P Transfer,Success,Debit Card,Android
T00033605,U003598,2024-09-17 01:47:12,111.31,Card Spend,Success,UPI,iOS
T00003031,U002955,2023-07-19 07:26:41,48.52,Wallet Load,Success,Net Banking,Web
T00037822,U000934,2023-03-23 08:17:46,170.33,P2P Transfer,Success,UPI,Android
T00036798,U008984,2024-07-05 22:42:15,296.6,P2P Transfer,Success,Net Banking,iOS
T00027030,U001771,2024-02-13 19:50:44,284.59,Bill Payment,Success,UPI,Web
T00003427,U011078,2024-03-30 05:30:18,65.57,Wallet Load,Success,Credit Card,Android
T00035228,U005075,2023-07-17 02:19:18,93.43,Investment,Failed,Wallet,Android
T00051812,U005451,2024-09-16 19:24:10,96.74,P2P Transfer,Success,UPI,Android
T00011450,U002575,2024-04-03 10:28:23,303.89,P2P Transfer,Success,UPI,Android
T00044797,U010824,2024-05-16 14:54:07,180.84,P2P Transfer,Success,Wallet,Android
T00011643,U002001,2023-12-18 06:06:17,46.96,P2P Transfer,Success,Wallet,Android
T00000781,U009437,2023-11-20 13:41:41,139.55,Wallet Load,Success,Wallet,iOS
T00000213,U000880,2023-05-13 05:37:13,95.39,Wallet Load,Success,UPI,Web
T00031860,U009130,2023-09-07 20:06:33,310.95,Wallet Load,Success,Debit Card,Android
T00004061,U010480,2023-01-16 12:19:17,46.34,Bill Payment,Failed,UPI,Android
T00000509,U010238,2024-06-23 00:09:55,23.58,P2P Transfer,Success,Net Banking,iOS
T00019534,U006919,2025-02-09 19:34:43,40.49,Card Spend,Success,Net Banking,iOS
T00020252,U004325,2023-11-03 02:51:02,245.89,P2P Transfer,Failed,Debit Card,iOS
T00001813,U003308,2024-05-16 07:59:02,92.7,Wallet Load,Failed,UPI,Web
T00010637,U005870,2023-03-24 09:38:50,176.81,P2P Transfer,Success,Net Banking,iOS
T00001478,U009504,2023-09-11 19:25:13,130.14,Bill Payment,Success,Wallet,Android
T00040377,U007520,2023-09-29 22:36:17,128.32,Investment,Success,UPI,Android
T00046803,U000992,2023-07-29 21:59:36,80.92,Wallet Load,Success,Wallet,iOS
T00027696,U005707,2023-11-29 14:40:02,68.36,Wallet Load,Success,UPI,Android
T00051131,U005968,2024-08-24 11:20:01,94.6,P2P Transfer,Success,Credit Card,Android
T00003618,U010395,2024-08-24 01:28:40,103.12,Bill Payment,Success,Wallet,Android
T00043359,U004360,2024-02-17 15:42:38,67.41,Card Spend,Success,Credit Card,Android
T00005688,U005938,2025-02-01 00:34:45,109.44,Bill Payment,Success,UPI,iOS
T00014287,U010634,2023-09-27 11:42:33,41.31,P2P Transfer,Success,UPI,Android
T00049391,U010532,2023-01-19 12:56:47,236.99,Wallet Load,Success,UPI,Android
T00036641,U011343,2024-10-21 20:07:53,204.06,Bill Payment,Success,UPI,iOS
T00010446,U005119,2023-03-24 15:11:47,76.18,Bill Payment,Failed,UPI,Android
T00020201,U006099,2023-02-10 17:18:53,40.28,Investment,Success,Net Banking,Android
T00001986,U005471,2024-05-27 01:50:11,24.31,Wallet Load,Success,UPI,Android
T00017161,U008180,2025-03-18 18:41:42,26.38,Card Spend,Success,UPI,Android
T00017232,U007057,2024-09-02 10:07:39,382.55,Investment,Refunded,UPI,iOS
T00023157,U000190,2024-06-08 21:52:44,88.48,P2P Transfer,Success,Wallet,Android
T00002908,U011632,2023-07-04 11:59:58,104.0,Bill Payment,Success,Net Banking,iOS
T00015551,U001857,2025-01-03 16:09:02,99.39,Card Spend,Success,Credit Card,Android
T00027575,U002728,2023-10-24 09:40:21,160.34,Investment,Success,Credit Card,iOS
T00024787,U004794,2023-08-12 02:23:50,160.96,P2P Transfer,Failed,Wallet,iOS
T00010390,U000343,2023-10-16 14:10:23,67.13,Card Spend,Success,Credit Card,iOS
T00024054,U002509,2023-03-29 12:49:46,65.84,Card Spend,Success,Net Banking,Android
T00000544,U010024,2025-02-27 15:03:45,146.01,P2P Transfer,Failed,UPI,Android
T00019115,U007384,2023-12-17 09:33:22,54.8,Wallet Load,Success,Debit Card,Android
T00006133,U002676,2024-10-02 22:16:38,118.94,Wallet Load,Success,Credit Card,iOS
T00040250,U001924,2024-07-04 11:25:14,277.5,Card Spend,Success,Credit Card,Android
T00044197,U011382,2023-08-28 15:16:49,54.54,Card Spend,Success,Wallet,Android
T00050913,U011484,2023-01-20 18:11:27,88.64,Wallet Load,Failed,UPI,Android
T00012493,U009202,2024-02-23 00:28:21,163.41,Bill Payment,Success,UPI,Web
T00045799,U009682,2023-07-06 05:25:05,173.62,P2P Transfer,Success,Credit Card,iOS
T00043677,U006979,2024-02-27 05:50:04,156.7,Card Spend,Success,Credit Card,iOS
T00009909,U004315,2025-02-27 01:21:11,149.27,Bill Payment,Failed,UPI,Android
T00022012,U006358,2024-08-11 17:20:44,264.36,Card Spend,Success,Net Banking,iOS
T00009069,U000034,2023-07-12 22:35:10,155.14,P2P Transfer,Refunded,Net Banking,iOS
T00024292,U004733,2023-03-13 23:17:18,97.07,Wallet Load,Success,Debit Card,iOS
T00014218,U006328,2024-07-20 06:56:20,81.7,P2P Transfer,Success,Wallet,iOS
T00023572,U005255,2023-07-11 05:36:47,95.95,Bill Payment,Failed,Credit Card,Android
