user_id,signup_date,age,region,acquisition_channel,kyc_status,signup_month,transaction_count,successful_transactions,total_spend,first_transaction_date,last_transaction_date,active_months,days_since_last_transaction,avg_transaction_amount,engagement_segment
U000001,2023-03-07 03:40:36,38,Central,Social,Verified,2023-03,5.0,5.0,501.16,2023-11-09 17:04:29,2024-12-14 20:33:45,5.0,106.0,100.232,Occasional
U000002,2024-07-18 23:42:35,58,North,Organic,Verified,2024-07,5.0,5.0,667.5100000000001,2023-03-02 00:46:16,2025-02-17 01:44:50,4.0,41.0,133.502,Engaged
U000003,2024-04-22 20:05:34,69,Central,Social,Verified,2024-04,4.0,4.0,337.28000000000003,2023-02-27 15:25:28,2024-09-12 17:53:27,4.0,199.0,84.32000000000001,At Risk
U000004,2023-11-17 09:09:00,55,North,Organic,Verified,2023-11,5.0,5.0,653.71,2023-06-15 06:52:08,2024-12-28 21:15:54,4.0,92.0,130.74200000000002,Occasional
U000005,2023-11-13 02:25:36,66,South,Referral,Verified,2023-11,4.0,4.0,728.58,2023-01-20 16:31:46,2024-12-31 20:23:52,4.0,89.0,182.145,Occasional
U000006,2024-09-18 18:38:07,18,North,Social,Verified,2024-09,4.0,4.0,521.63,2023-04-25 06:21:43,2024-10-12 17:16:55,4.0,169.0,130.4075,Occasional
U000007,2023-03-04 17:46:03,27,Central,Affiliate,Verified,2023-03,3.0,2.0,271.38,2023-07-09 22:32:25,2024-09-09 19:52:36,3.0,202.0,90.46,At Risk
U000008,2024-05-24 01:53:16,51,Central,Organic,Verified,2024-05,9.0,6.0,779.8000000000001,2023-01-27 22:35:33,2025-01-20 17:18:31,8.0,69.0,86.64444444444445,Engaged
U000009,2023-05-28 01:44:46,46,East,Organic,Verified,2023-05,3.0,3.0,269.18,2023-08-28 22:18:58,2024-10-16 15:54:28,3.0,165.0,89.72666666666667,Occasional
U000010,2023-03-10 17:59:13,24,North,Organic,Verified,2023-03,4.0,4.0,438.49,2024-03-12 07:10:06,2024-11-15 04:17:36,4.0,135.0,109.6225,Occasional
U000011,2024-01-20 07:54:42,56,South,Social,Verified,2024-01,1.0,1.0,306.8,2025-02-02 13:04:21,2025-02-02 13:04:21,1.0,56.0,306.8,Occasional
U000012,2024-12-13 04:54:12,21,South,Organic,Verified,2024-12,5.0,4.0,758.02,2024-09-08 09:14:43,2025-03-12 15:58:50,5.0,18.0,151.60399999999998,Engaged
U000013,2024-06-21 02:22:53,70,South,Paid Search,Verified,2024-06,2.0,1.0,233.98000000000002,2024-05-27 17:27:44,2024-12-25 17:08:09,2.0,95.0,116.99000000000001,Occasional
U000014,2024-07-09 15:10:03,26,North,Paid Search,Verified,2024-07,1.0,1.0,208.56,2024-01-09 23:24:50,2024-01-09 23:24:50,1.0,445.0,208.56,At Risk
U000015,2024-06-07 18:12:06,41,West,Paid Search,Verified,2024-06,5.0,3.0,1306.39,2023-06-15 07:09:53,2024-12-21 07:21:38,5.0,99.0,261.278,Occasional
U000016,2024-07-27 19:50:47,61,East,Paid Search,Verified,2024-07,7.0,6.0,993.7,2023-01-24 02:05:50,2025-02-12 07:23:11,7.0,46.0,141.95714285714286,Engaged
U000017,2024-01-10 15:43:46,45,Central,Paid Search,Verified,2024-01,5.0,4.0,626.24,2023-06-20 08:18:32,2024-12-07 19:28:11,4.0,113.0,125.248,Occasional
U000018,2023-04-04 12:33:03,57,East,Referral,Verified,2023-04,4.0,4.0,401.96999999999997,2023-03-05 12:20:14,2024-09-24 22:59:22,4.0,187.0,100.49249999999999,At Risk
U000019,2024-09-05 00:23:20,55,South,Paid Search,Verified,2024-09,4.0,4.0,262.68,2023-03-13 07:58:06,2025-02-01 17:42:15,4.0,57.0,65.67,Occasional
U000020,2023-11-25 18:45:41,68,East,Paid Search,Verified,2023-11,0.0,0.0,0.0,,,0.0,999.0,0.0,No Activity
